add-c,1,10,20,136848,6842,0
add-c,1,20,40,140864,3521,0
add-c,1,40,80,137882,1723,0
add-c,1,80,160,136253,851,0
add-c,1,100,200,116085,580,0
add-c,1,1000,2000,123596,61,0
add-c,1,10000,20000,176505,8,0
add-c,1,100000,200000,730455,3,0
add-c,2,10,40,137732,3443,0
add-c,2,20,80,135802,1697,0
add-c,2,40,160,139628,872,0
add-c,2,80,320,138165,431,0
add-c,2,100,400,135105,337,0
add-c,2,1000,4000,153156,38,0
add-c,2,10000,40000,171052,4,0
add-c,2,100000,400000,645776,1,0
add-c,4,10,80,185747,2321,0
add-c,4,20,160,185064,1156,0
add-c,4,40,320,186941,584,0
add-c,4,80,640,194858,304,0
add-c,4,100,800,181844,227,0
add-c,4,1000,8000,198499,24,0
add-c,4,10000,80000,213558,2,0
add-c,4,100000,800000,784239,0,0
add-c,8,10,160,267283,1670,0
add-c,8,20,320,270741,846,0
add-c,8,40,640,255780,399,0
add-c,8,80,1280,267925,209,0
add-c,8,100,1600,266611,166,0
add-c,8,1000,16000,277157,17,0
add-c,8,10000,160000,322046,2,0
add-c,8,100000,1600000,887619,0,0
add-c,12,10,240,362642,1511,0
add-c,12,20,480,364600,759,0
add-c,12,40,960,368959,384,0
add-c,12,80,1920,370481,192,0
add-c,12,100,2400,363870,151,0
add-c,12,1000,24000,362026,15,0
add-c,12,10000,240000,405161,1,0
add-c,12,100000,2400000,890238,0,0
add-yield-m,1,1000,2000,119665,59,0
add-yield-m,1,10000,20000,177587,8,0
add-yield-m,1,100000,200000,724282,3,0
add-yield-m,2,1000,4000,145370,36,0
add-yield-m,2,10000,40000,197765,4,0
add-yield-m,2,100000,400000,775524,1,0
add-yield-m,4,1000,8000,191961,23,0
add-yield-m,4,10000,80000,247457,3,0
add-yield-m,4,100000,800000,721942,0,0
add-yield-m,8,1000,16000,282938,17,0
add-yield-m,8,10000,160000,331757,2,0
add-yield-m,8,100000,1600000,776303,0,0
add-yield-m,12,1000,24000,375200,15,0
add-yield-m,12,10000,240000,423006,1,0
add-yield-m,12,100000,2400000,864553,0,0
add-yield-s,1,1000,2000,141201,70,0
add-yield-s,1,10000,20000,188115,9,0
add-yield-s,1,100000,200000,665483,3,0
add-yield-s,2,1000,4000,124349,31,0
add-yield-s,2,10000,40000,193240,4,0
add-yield-s,2,100000,400000,734121,1,0
add-yield-s,4,1000,8000,189415,23,0
add-yield-s,4,10000,80000,246804,3,0
add-yield-s,4,100000,800000,808091,1,0
add-yield-s,8,1000,16000,285277,17,0
add-yield-s,8,10000,160000,333668,2,0
add-yield-s,8,100000,1600000,799186,0,0
add-yield-s,12,1000,24000,357813,14,0
add-yield-s,12,10000,240000,404055,1,0
add-yield-s,12,100000,2400000,883843,0,0
add-yield-c,1,1000,2000,142286,71,0
add-yield-c,1,10000,20000,196304,9,0
add-yield-c,1,100000,200000,672214,3,0
add-yield-c,2,1000,4000,122646,30,0
add-yield-c,2,10000,40000,196795,4,0
add-yield-c,2,100000,400000,736845,1,0
add-yield-c,4,1000,8000,187565,23,0
add-yield-c,4,10000,80000,269443,3,0
add-yield-c,4,100000,800000,834454,1,0
add-yield-c,8,1000,16000,357911,22,0
add-yield-c,8,10000,160000,357994,2,0
add-yield-c,8,100000,1600000,828660,0,0
add-yield-c,12,1000,24000,381514,15,0
add-yield-c,12,10000,240000,449193,1,0
add-yield-c,12,100000,2400000,881802,0,0
